"fips","Pop"
"22103",264575
"22105",133149
"22107",4147
"22109",109583
"22111",21106
"22113",56973
"22115",48754
"22117",45456
"22119",36963
"22121",27201
"22123",9755
"22125",15307
"22127",13755
"23001",111147
"23003",67107
"23005",303076
"23007",29447
"23009",55477
"23011",123636
"23013",40608
"23015",35240
"23017",57766
"23019",152202
"23021",16799
"23023",36699
"23025",50472
"23027",39596
"23029",31088
"23031",211981
"24001",68115
"24003",588265
"24005",854554
"24009",92785
"24011",33299
"24013",172890
"24015",103726
"24017",166621
"24019",32530
"24021",271709
"24023",28804
"24025",260924
"24027",332316
"24029",19195
"24031",1062054
"24033",967194
"24035",49871
"24037",113775
"24039",24618
"24041",37520
"24043",154709
"24045",103586
"24047",52460
"24510",585693
"25001",229004
"25003",129036
"25005",579210
"25007",20595
"25009",809818
"25011",71035
"25013",465834
"25015",162305
"25017",1632002
"25019",14251
"25021",725999
"25023",530820
"25025",797941
"25027",862099
"26001",10167
"26003",8837
"26005",120499
"26007",28909
"26009",23428
"26011",15007
"26013",8149
"26015",62428
"26017",103856
"26019",17973
"26021",154320
"26023",44860
"26025",134293
"26027",51591
"26029",26051
"26031",25586
"26033",36784
"26035",30857
"26037",79123
"26039",12994
"26041",36896
"26043",25952
"26045",109174
"26047",34105
"26049",406217
"26051",25386
"26053",14377
"26055",95246
"26057",41752
"26059",45759
"26061",37360
"26063",31408
"26065",284891
"26067",66793
"26069",25230
"26071",11628
"26073",64396
"26075",160375
"26077",261663
"26079",17928
"26081",657984
"26083",2055
"26085",12100
"26087",88615
"26089",22304
"26091",99424
"26093",193869
"26095",5339
"26097",10831
"26099",881219
"26101",25029
"26103",66020
"26105",29063
"26107",39713
"26109",23500
"26111",83498
"26113",15048
"26115",154812
"26117",66622
"26119",9154
"26121",175814
"26123",49971
"26125",1274395
"26127",26658
"26129",20769
"26131",5814
"26133",22890
"26135",8225
"26137",25095
"26139",296207
"26141",12981
"26143",23450
"26145",190128
"26147",160382
"26149",60939
"26151",40619
"26153",8049
"26155",68095
"26157",53322
"26159",75593
"26161",372265
"26163",1793549
"26165",33668
"27001",15703
"27003",363892
"27005",35176
"27007",46230
"27009",41381
"27011",5168
"27013",69129
"27015",25914
"27017",36201
"27019",106914
"27021",30065
"27023",12594
"27025",56621
"27027",65309
"27029",8521
"27031",5599
"27033",11506
"27035",66122
"27037",439884
"27039",20873
"27041",39002
"27043",13922
"27045",21229
"27047",30901
"27049",47580
"27051",6075
"27053",1281568
"27055",18849
"27057",21348
"27059",41133
"27061",45018
"27063",9992
"27065",16027
"27067",43733
"27069",4217
"27071",12059
"27073",6722
"27075",10910
"27077",3765
"27079",28672
"27081",5644
"27083",25268
"27085",36759
"27087",5400
"27089",9032
"27091",20024
"27093",23400
"27095",26467
"27097",34010
"27099",40034
"27101",8175
"27103",34464
"27105",22294
"27107",6442
"27109",162849
"27111",60074
"27113",13999
"27115",28883
"27117",9416
"27119",31194
"27121",11309
"27123",552362
"27125",3936
"27127",15419
"27129",14730
"27131",67098
"27133",9701
"27135",15323
"27137",200223
"27139",150930
"27141",97186
"27143",14842
"27145",158297
"27147",37400
"27149",9673
"27151",9835
"27153",25253
"27155",3366
"27157",21380
"27159",14065
"27161",18966
"27163",267563
"27165",11251
"27167",6513
"27169",49662
"27171",141336
"27173",9533
"28001",29538
"28003",34743
"28005",12721
"28007",17885
"28009",7644
"28011",30973
"28013",13267
"28015",9995
"28017",17103
"28019",8246
"28021",9135
"28023",15615
"28025",18635
"28027",21393
"28029",28371
"28031",18339
"28033",185317
"28035",78163
"28037",7681
"28039",24348
"28041",13533
"28043",21627
"28045",46047
"28047",208621
"28049",227750
"28051",17001
"28053",7790
"28055",1335
"28057",23861
"28059",143259
"28061",16370
"28063",7260
"28065",11323
"28067",67248
"28069",8981
"28071",55812
"28073",64223
"28075",72983
"28077",12015
"28079",21272
"28081",83347
"28083",28348
"28085",34906
"28087",58882
"28089",109149
"28091",24438
"28093",33755
"28095",34179
"28097",9822
"28099",29094
"28101",21293
"28103",10279
"28105",51780
"28107",33209
"28109",56144
"28111",11514
"28113",40329
"28115",31192
"28117",25000
"28119",6173
"28121",157026
"28123",27987
"28125",3798
"28127",25950
"28129",14209
"28131",18336
"28133",25973
"28135",12715
"28137",28066
"28139",21810
"28141",18854
"28143",9777
"28145",27782
"28147",13882
"28149",44721
"28151",44918
"28153",19774
"28155",9924
"28157",8586
"28159",17709
"28161",12487
"28163",26748
"29001",25315
"29003",18128
"29005",5306
"29007",24964
"29009",34533
"29011",11625
"29013",16032
"29015",19395
"29017",10572
"29019",183607
"29021",84798
"29023",42128
"29025",8813
"29027",44290
"29029",42746
"29031",81707
"29033",8497
"29035",5201
"29037",107816
"29039",14187
"29041",7409
"29043",88846
"29045",6640
"29047",253322
"29049",21182
"29051",77284
"29053",17108
"29055",23059
"29057",7571
"29059",17070
"29061",8426
"29063",11039
"29065",14419
"29067",11575
"29069",28286
"29071",104688
"29073",14794
"29075",6165
"29077",298915
"29079",9814
"29081",8158
"29083",21946
"29085",8277
"29087",4226
"29089",10148
"29091",39748
"29093",9537
"29095",717206
"29097",122750
"29099",226572
"29101",54007
"29103",3745
"29105",36042
"29107",32994
"29109",37995
"29111",10036
"29113",59577
"29115",11870
"29117",14546
"29119",23308
"29121",15212
"29123",12627
"29125",8430
"29127",28527
"29129",3537
"29131",24726
"29133",12575
"29135",15477
"29137",8662
"29139",11319
"29141",21000
"29143",16435
"29145",58644
"29147",21240
"29149",8641
"29151",13281
"29153",8556
"29155",15661
"29157",18954
"29159",42984
"29161",44640
"29163",17590
"29165",106718
"29167",31521
"29169",53958
"29171",4680
"29173",10355
"29175",24713
"29177",23160
"29179",6093
"29181",10678
"29183",405262
"29185",9287
"29186",18479
"29187",66926
"29189",1004310
"29195",23319
"29197",4034
"29199",4709
"29201",38058
"29203",7027
"29205",6104
"29207",28674
"29209",31077
"29211",5999
"29213",56058
"29215",24495
"29217",19710
"29219",35538
"29221",23514
"29223",10973
"29225",39085
"29227",1967
"29229",18187
"29510",301574
"30001",9374
"30003",13127
"30005",7042
"30007",6773
"30009",10476
"30011",1415
"30013",84413
"30015",5896
"30017",11867
"30019",1657
"30021",8943
"30023",9424
"30025",3049
"30027",11443
"30029",104349
"30031",118957
"30033",1170
"30035",13771
"30037",824
"30039",3306
"30041",16304
"30043",12081
"30045",2021
"30047",31132
"30049",70967
"30051",1959
"30053",19678
"30055",1728
"30057",8626
"30059",1926
"30061",4529
"30063",117924
"30065",4732
"30067",17193
"30069",496
"30071",4215
"30073",5905
"30075",1694
"30077",6944
"30079",1093
"30081",44172
"30083",11493
"30085",10792
"30087",8331
"30089",12403
"30091",3542
"30093",35128
"30095",8959
"30097",3677
"30099",6230
"30101",4973
"30103",759
"30105",7577
"30107",2077
"30109",939
"30111",164722
"31001",31202
"31003",6292
"31005",433
"31007",674
"31009",432
"31011",5377
"31013",10841
"31015",1814
"31017",2902
"31019",50089
"31021",6727
"31023",8360
"31025",26598
"31027",8378
"31029",3894
"31031",5455
"31033",9468
"31035",6105
"31037",10581
"31039",9010
"31041",10543
"31043",21587
"31045",8195
"31047",24111
"31049",1837
"31051",5598
"31053",37171
"31055",584522
"31057",1657
"31059",5557
"31061",2890
"31063",2519
"31065",4633
"31067",21706
"31069",1872
"31071",1815
"31073",1894
"31075",613
"31077",2186
"31079",62893
"31081",9431
"31083",3076
"31085",856
"31087",2616
"31089",10137
"31091",711
"31093",6472
"31095",7242
"31097",5287
"31099",6677
"31101",8331
"31103",768
"31105",3438
"31107",8405
"31109",322615
"31111",34680
"31113",718
"31115",603
"31117",400
"31119",35584
"31121",7659
"31123",4555
"31125",3377
"31127",7076
"31129",4096
"31131",15907
"31133",2545
"31135",2861
"31137",8964
"31139",7315
"31141",34294
"31143",5209
"31145",10705
"31147",7870
"31149",1264
"31151",14291
"31153",190597
"31155",22280
"31157",36084
"31159",17608
"31161",5134
"31163",2959
"31165",1135
"31167",5843
"31169",5032
"31171",668
"31173",6769
"31175",4055
"31177",20865
"31179",9698
"31181",3396
"31183",772
"31185",14128
"32001",25516
"32003",2265469
"32005",49484
"32007",53703
"32009",729
"32011",1853
"32013",17288
"32015",5732
"32017",4505
"32019",59240
"32021",4555
"32023",51590
"32027",6651
"32029",4098
"32031",486489
"32033",9078
"32510",58644
"33001",63709
"33003",50098
"33005",76455
"33007",31262
"33009",91112
"33011",422941
"33013",153800
"33015",314182
"33017",130895
"33019",43064
"34001",274536
"34003",955746
"34005",461863
"34007",523486
"34009",95266
"34011",154148
"34013",862782
"34015",302285
"34017",724857
"34019",128962
"34021",387340
"34023",863183
"34025",643608
"34027",509277
"34029",637229
"34031",525052
"34033",64834
"34035",345356
"34037",144231
"34039",575352
"34041",109638
"35001",676438
"35003",3582
"35005",65158
"35006",27172
"35007",12385
"35009",48429
"35011",1697
"35013",219567
"35015",62314
"35017",28190
"35019",4451
"35021",655
"35023",4180
"35025",74455
"35027",20273
"35028",19418
"35029",25422
"35031",72898
"35033",4185
"35035",67843
"35037",8744
"35039",40359
"35041",19197
"35043",148829
"35045",121663
"35047",27203
"35049",154823
"35051",11574
"35053",16602
"35055",34488
"35057",15045
"35059",4083
"35061",76205
"36001",314838
"36003",46446
"36005",1472656
"36007",198675
"36009",77041
"36011",76251
"36013",127675
"36015",84152
"36017",47216
"36019",79839
"36021",61567
"36023",46814
"36025",44302
"36027",295897
"36029",954244
"36031",37362
"36033",47556
"36035",53322
"36037",58394
"36039",47933
"36041",5102
"36043",60143
"36045",116723
"36047",2736075
"36049",26580
"36051",61842
"36053",68012
"36055",759444
"36057",49526
"36059",1395777
"36061",1694250
"36063",212650
"36065",232111
"36067",476511
"36069",112459
"36071",401324
"36073",40355
"36075",117533
"36077",58529
"36079",97682
"36081",2405464
"36083",161138
"36085",495749
"36087",338329
"36089",108502
"36091",235499
"36093",158058
"36095",29718
"36097",17894
"36099",33811
"36101",93577
"36103",1525936
"36105",78617
"36107",48461
"36109",105744
"36111",181856
"36113",65737
"36115",61302
"36117",91286
"36119",1004445
"36121",40531
"36123",24768
"37001",171429
"37003",36440
"37005",10886
"37007",22052
"37009",26581
"37011",17812
"37013",44658
"37015",17934
"37017",29617
"37019",136694
"37021",269446
"37023",87573
"37025",225807
"37027",80664
"37029",10357
"37031",67686
"37033",22738
"37035",160609
"37037",76270
"37039",28769
"37041",13705
"37043",11085
"37045",99521
"37047",50625
"37049",100718
"37051",334728
"37053",28103
"37055",36910
"37057",168933
"37059",42715
"37061",48705
"37063",324849
"37065",48897
"37067",382584
"37069",68578
"37071",227942
"37073",10475
"37075",8029
"37077",61001
"37079",20449
"37081",541309
"37083",48622
"37085",133554
"37087",62097
"37089",116279
"37091",21552
"37093",52081
"37095",4587
"37097",186699
"37099",43107
"37101",215991
"37103",9173
"37105",63281
"37107",55124
"37109",86816
"37111",44577
"37113",37016
"37115",21192
"37117",22035
"37119",1115526
"37121",14906
"37123",25752
"37125",99725
"37127",94967
"37129",225705
"37131",17474
"37133",204585
"37135",148707
"37137",12274
"37139",40568
"37141",60208
"37143",13006
"37145",39093
"37147",170241
"37149",19330
"37151",144151
"37153",42953
"37155",116516
"37157",91100
"37159",146878
"37161",64444
"37163",59040
"37165",34180
"37167",62506
"37169",44523
"37171",71367
"37173",14115
"37175",32986
"37177",3247
"37179",238233
"37181",42570
"37183",1129393
"37185",18642
"37187",11001
"37189",54077
"37191",117324
"37193",65968
"37195",78786
"37197",37211
"37199",18470
